id,name,artist,album
TR:10107896,I See Fire,Jasmine Thompson,Another Bundle of Tantrums
TR:14305280,Somebody That I Used to Know,Pentatonix,PTX
TR:2462498,Brothers (Fullmetal Alchemist),Taylor Davis,Gaming Fantasy
TR:5548500,Try,Colbie Caillat,Gypsy Heart
TR:9962181,Best Of 2011: Just The Way You Are / For The First Time / Someone Like You / Superbass / Grenade / Without You,Anthem Lights,Best Of The Year Medleys: 2007 - 2012
TR:10107894,A Thousand Years,Jasmine Thompson,Another Bundle of Tantrums
TR:11772579,Perfect,Boyce Avenue,"Cover Sessions, Vol. 2"
TR:2169946,The A Team,Megan Nicole,The A Team (Single)
TR:10107904,Rather Be,Jasmine Thompson,Another Bundle of Tantrums
TR:1265943,A Drop in the Ocean,Ron Pope,Daylight
TR:4526623,Like I'm Gonna Lose You,Jasmine Thompson,Like I'm Gonna Lose You (Single)
TR:33264406,How Far I'll Go (Alessia Cara Version),Alessia Cara,Moana (Originalnyi Saundtrek)
TR:14305298,I Need Your Love,Pentatonix,PTX
TR:3018735,heartsigh,Purity Ring,another eternity
TR:1977756,I Choose To Love You,Sistar,Alone
TR:2361575,Roar,Anthem Lights,"Anthem Lights Covers, Pt. II"
TR:4545033,Can't Sleep Love,Pentatonix,Pentatonix (Deluxe Version)
TR:11734445,Love Me Like You Do,Boyce Avenue,"Cover Sessions, Vol. 4"
TR:50634795,"Hallelujah (From ""Sing"" Original Motion Picture Soundtrack)",Tori Kelly,A Tori Kelly Christmas (Deluxe)
TR:4545048,Can't Sleep Love (feat. Tink),Pentatonix,Pentatonix (Deluxe Version)
TR:7072673,"World Championship Finale 2 (From ""Pitch Perfect 2"" Soundtrack)",The Barden Bellas,Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack)
TR:4545035,Misbehavin',Pentatonix,Pentatonix (Deluxe Version)
TR:14305293,Say Something,Pentatonix,PTX
TR:10107893,Demons,Jasmine Thompson,Another Bundle of Tantrums
TR:5612118,When I Was Your Man (Female Version When You Were My Man),Madilyn Bailey,"The Covers, Vol. 5"
TR:2727712,Little Do You Know,Alex & Sierra,It's About Us
TR:2527669,Let It Go,Anthem Lights,Covers Part III
TR:2350556,Let Her Go,Jasmine Thompson,Bundle of Tantrums
TR:4545034,Sing,Pentatonix,Pentatonix (Deluxe Version)
TR:1937243,Zelda Medley,Lindsey Stirling,Zelda Medley (Single)
TR:1682309,Hit 'Em Up Style,Low Key,BOCA 2011: Best Of College A Cappella
TR:1440007,Sources,Jquintel,Jquintel : Select Singles
TR:5797623,Bad Romance,On the Rocks,The Sing-Off: Season 2 - Episode 1 - Signature Songs
TR:6613170,Dynamite,Rogue,Monstercat - Best of Electro Vol. 2
TR:10628652,Awaken,Damien Escobar,Boundless
TR:2512828,One Minute (Instrumental),Moleman,Threshold EP
TR:1790010,Apologize,University of North Carolina Loreleis,Voices Only 2009 College A Cappella (Disc 2)
TR:2469737,Fairy Tail [Piano] (Remix),Kaleptik,"Anime Remixes, Vol. 1"
TR:1684611,Flashpoint,Luke Wieting,Currents
TR:5791106,As Long As You Love Me,Anthem Lights,Anthem Lights Covers
TR:2361576,What About Love,Anthem Lights,"Anthem Lights Covers, Pt. II"
TR:7379528,Don't Stop The Music,The Treblemakers,Ultimate Pitch Perfect (Original Motion Picture Soundtrack)
TR:2361578,Best Of 2013 Mash-Up,Anthem Lights,"Anthem Lights Covers, Pt. II"
TR:7072662,"Kennedy Center Performance (From ""Pitch Perfect 2"" Soundtrack)",The Barden Bellas,Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack)
TR:2008282,Love You Long Time,Pentatonix,"PTX, Vol. 1"
TR:7379518,Right Round (feat. Kay),The Treblemakers,Ultimate Pitch Perfect (Original Motion Picture Soundtrack)
TR:5517982,I'm Yours / Somewhere over the Rainbow,Straight No Chaser,With a Twist (Deluxe)
TR:5447751,Fight Song (Acoustic),Rachel Platten,Fight Song (Acoustic) (Single)
TR:7379510,Bellas Finals: Price Tag/Don’t You (Forget About Me)/Give Me Everything/Just The Way You Are/Party In The U.S.A./Turn The Beat Around,The Barden Bellas,Ultimate Pitch Perfect (Original Motion Picture Soundtrack)
TR:7379526,Cups (Movie Version),Anna Kendrick,Ultimate Pitch Perfect (Original Motion Picture Soundtrack)
TR:5791109,This I Promise You,Anthem Lights,Anthem Lights Covers
TR:2321904,Titanium,Madilyn Bailey,"The Covers, Vol. 2"
TR:2361573,Heart Attack,Anthem Lights,"Anthem Lights Covers, Pt. II"
TR:1682909,Sex,Aries Spears,"Hollywood, Look I'm Smiling"
TR:1588917,Married Vs. Single,Katt Williams,Live: Let A Playa Play (Explicit)
TR:5495092,Road Manager,Kevin Hart,Seriously Funny (Explicit)
TR:1541125,Modern Women,Eddie Murphy (Comedy),Eddie Murphy: Comedian (Explicit)
TR:1905686,Dancing At The Club,Kevin Hart,Laugh At My Pain
TR:1682907,Schwarzenegger,Aries Spears,"Hollywood, Look I'm Smiling"
TR:1905672,Financial Lane,Kevin Hart,Laugh At My Pain
TR:1682905,Blacks In Hollywood,Aries Spears,"Hollywood, Look I'm Smiling"
